GEO.id,NAME,median home value,std_value
0500000US36001,Albany County,208600,2511
0500000US36003,Allegany County,69100,1514
0500000US36005,Bronx County,366400,4556
0500000US36007,Broome County,108300,1985
0500000US36009,Cattaraugus County,83000,1564
0500000US36011,Cayuga County,109000,2404
0500000US36013,Chautauqua County,84100,1086
0500000US36015,Chemung County,97800,1953
0500000US36017,Chenango County,91800,3754
0500000US36019,Clinton County,125200,3953
0500000US36021,Columbia County,222800,5977
0500000US36023,Cortland County,105200,2902
0500000US36025,Delaware County,133600,6261
0500000US36027,Dutchess County,282100,2543
0500000US36029,Erie County,126700,1003
0500000US36031,Essex County,145800,5652
0500000US36033,Franklin County,98500,3492
0500000US36035,Fulton County,107500,4559
0500000US36037,Genesee County,105200,2495
0500000US36039,Greene County,174200,4674
0500000US36041,Hamilton County,163100,5979
0500000US36043,Herkimer County,95100,2057
0500000US36045,Jefferson County,135200,4452
0500000US36047,Kings County,557500,3866
0500000US36049,Lewis County,111900,3733
0500000US36051,Livingston County,119200,2944
0500000US36053,Madison County,122400,3267
0500000US36055,Monroe County,136600,962
0500000US36057,Montgomery County,101100,3565
0500000US36059,Nassau County,447700,1433
0500000US36061,New York County,838400,15733
0500000US36063,Niagara County,106700,1724
0500000US36065,Oneida County,111900,1518
0500000US36067,Onondaga County,134200,1245
0500000US36069,Ontario County,140100,3105
0500000US36071,Orange County,268500,2241
0500000US36073,Orleans County,91300,2822
0500000US36075,Oswego County,92900,1842
0500000US36077,Otsego County,139000,5043
0500000US36079,Putnam County,362400,5208
0500000US36081,Queens County,446800,2437
0500000US36083,Rensselaer County,177700,3257
0500000US36085,Richmond County,439600,3382
0500000US36087,Rockland County,424400,3790
0500000US36089,St Lawrence County,86200,1867
0500000US36091,Saratoga County,230900,3026
0500000US36093,Schenectady County,166900,1640
0500000US36095,Schoharie County,146200,5896
0500000US36097,Schuyler County,99700,4888
0500000US36099,Seneca County,95400,2591
0500000US36101,Steuben County,89800,1492
0500000US36103,Suffolk County,376800,1232
0500000US36105,Sullivan County,168800,3271
0500000US36107,Tioga County,110500,3855
0500000US36109,Tompkins County,171000,2765
0500000US36111,Ulster County,226600,3339
0500000US36113,Warren County,191800,5325
0500000US36115,Washington County,144100,3615
0500000US36117,Wayne County,110400,2280
0500000US36119,Westchester County,509200,5530
0500000US36121,Wyoming County,101800,3963
0500000US36123,Yates County,121600,5266
