Id,NAME,Unemployment rate
0500000US36001,Albany County,6.8
0500000US36003,Allegany County,9.7
0500000US36005,Bronx County,15
0500000US36007,Broome County,8.6
0500000US36009,Cattaraugus County,8.9
0500000US36011,Cayuga County,8.3
0500000US36013,Chautauqua County,8.5
0500000US36015,Chemung County,6.1
0500000US36017,Chenango County,8.6
0500000US36019,Clinton County,7.3
0500000US36021,Columbia County,7.9
0500000US36023,Cortland County,7
0500000US36025,Delaware County,10.1
0500000US36027,Dutchess County,9.3
0500000US36029,Erie County,7.9
0500000US36031,Essex County,8.6
0500000US36033,Franklin County,8.8
0500000US36035,Fulton County,10
0500000US36037,Genesee County,7.6
0500000US36039,Greene County,10
0500000US36041,Hamilton County,7.4
0500000US36043,Herkimer County,9.3
0500000US36045,Jefferson County,11.3
0500000US36047,Kings County,10.6
0500000US36049,Lewis County,9.2
0500000US36051,Livingston County,6
0500000US36053,Madison County,5.3
0500000US36055,Monroe County,8.1
0500000US36057,Montgomery County,10.4
0500000US36059,Nassau County,7.1
0500000US36061,New York County,8.2
0500000US36063,Niagara County,8.1
0500000US36065,Oneida County,8
0500000US36067,Onondaga County,7.8
0500000US36069,Ontario County,6.6
0500000US36071,Orange County,8
0500000US36073,Orleans County,10.5
0500000US36075,Oswego County,10.3
0500000US36077,Otsego County,7.7
0500000US36079,Putnam County,7.8
0500000US36081,Queens County,9.5
0500000US36083,Rensselaer County,8.4
0500000US36085,Richmond County,7.6
0500000US36087,Rockland County,8.1
0500000US36089,St Lawrence County,10.8
0500000US36091,Saratoga County,6.3
0500000US36093,Schenectady County,8.4
0500000US36095,Schoharie County,11.6
0500000US36097,Schuyler County,6.4
0500000US36099,Seneca County,6.3
0500000US36101,Steuben County,8.6
0500000US36103,Suffolk County,7.1
0500000US36105,Sullivan County,12.7
0500000US36107,Tioga County,7.6
0500000US36109,Tompkins County,5.8
0500000US36111,Ulster County,10.2
0500000US36113,Warren County,6.8
0500000US36115,Washington County,9.8
0500000US36117,Wayne County,7.4
0500000US36119,Westchester County,8.1
0500000US36121,Wyoming County,7.4
0500000US36123,Yates County,7
